                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.5911,                0.72973,                 1.0081,                0.95358,                0.95745,                 0.9512,                0.40554,                 1.9072,                0.78015,                 1.1388,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.6211,                0.76343,                 1.0331,                0.95302,                0.95745,                 0.9541,                0.39376,                 1.9423,                0.77438,                  1.163,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.4789,                0.70708,                  1.007,                0.92246,                0.93617,                0.94041,                0.39307,                 1.9464,                0.78661,                 1.1643,               0.000515,               0.000515,               0.000515
                     77,                 1.5394,                0.71886,                 1.0129,                 0.9331,                0.93617,                0.94363,                0.38815,                 1.9427,                0.78867,                 1.1652,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.6014,                 0.7362,                 1.0129,                0.91221,                0.91489,                0.91507,                0.39586,                 1.9511,                0.76629,                 1.1706,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.5691,                0.71958,                  1.037,                0.91269,                0.91489,                0.91403,                0.40307,                 1.9363,                0.75139,                 1.1658,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.6172,                0.72168,                 1.0454,                0.91041,                0.91489,                0.91452,                0.42889,                 1.8489,                0.74806,                 1.1321,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.5571,                0.71856,                 1.0351,                0.93194,                0.93617,                0.92084,                0.44519,                 1.8194,                0.74668,                 1.1161,               0.000416,               0.000416,               0.000416
                     82,                 1.5998,                0.73786,                 1.0548,                0.95171,                0.95745,                0.94329,                0.45656,                  1.812,                0.75736,                  1.111,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.5425,                0.70456,                0.99953,                0.95307,                0.95745,                0.94135,                0.40869,                 1.9596,                0.78655,                 1.1641,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.4943,                0.71006,                 1.0107,                 0.9537,                0.95745,                0.94059,                0.38797,                 2.0727,                0.77983,                 1.2065,              0.0003566,              0.0003566,              0.0003566
                     85,                    1.5,                 0.6995,                 1.0168,                0.95442,                0.95745,                0.94116,                0.40616,                  2.009,                0.75867,                 1.1842,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.5401,                0.71588,                0.98913,                0.95436,                0.95745,                0.94371,                0.44423,                   1.87,                0.72933,                 1.1311,               0.000317,               0.000317,               0.000317
                     87,                 1.4815,                0.68213,                 1.0024,                0.95466,                0.95745,                0.94471,                0.44843,                 1.8551,                0.73494,                 1.1262,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.4612,                0.67599,                 1.0051,                0.97607,                0.97872,                0.97747,                0.42887,                  1.958,                0.74508,                 1.1627,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.5328,                0.70503,                 1.0222,                0.95441,                0.95745,                0.93903,                0.41884,                 2.0061,                0.75116,                 1.1781,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.5063,                0.69218,                0.99724,                 0.9559,                 0.9224,                0.93819,                0.41708,                 2.0114,                0.76312,                 1.1786,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.4615,                0.68704,                 1.0365,                0.96889,                0.95745,                0.94602,                0.44419,                 1.8871,                0.73801,                 1.1418,               0.000218,               0.000218,               0.000218
                     92,                 1.4553,                0.68426,                 1.0315,                0.96379,                0.95745,                0.97119,                0.46362,                 1.8358,                0.73554,                 1.1211,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.4696,                0.68117,                 1.0465,                0.96217,                0.95745,                0.97173,                0.46011,                 1.8297,                 0.7391,                 1.1186,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.4786,                0.67768,                 1.0225,                0.93593,                0.93617,                0.94739,                0.44955,                 1.8353,                0.74095,                 1.1228,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.5159,                0.66859,                 1.0669,                0.95692,                0.95745,                 0.9537,                0.44117,                 1.8448,                0.74079,                 1.1301,              0.0001388,              0.0001388,              0.0001388
                     96,                   1.48,                0.67112,                 1.0343,                0.95659,                0.95745,                0.95249,                0.45321,                 1.8305,                0.72926,                 1.1263,               0.000119,               0.000119,               0.000119
                     97,                 1.5024,                0.68198,                  1.036,                0.95604,                0.95745,                0.95246,                0.47006,                 1.8178,                0.72204,                 1.1211,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.4617,                0.66355,                 1.0699,                0.97695,                0.97872,                0.97766,                0.47494,                 1.7923,                0.70844,                  1.111,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.4133,                0.63993,                 1.0208,                 0.9765,                0.97872,                0.97756,                0.47284,                 1.7903,                0.70215,                 1.1098,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.4628,                0.65481,                 1.0633,                0.95377,                0.95745,                0.95933,                0.47318,                 1.7904,                0.70194,                 1.1092,               3.98e-05,               3.98e-05,               3.98e-05
